Position;Business Name;Address;Phone Number;Email;Website;Category
52;KROVING EU, s. r. o. - Tomáš Figura;Budmerice 370, 90086 Budmerice;421944480419;tomasfigura93@gmail.com;;Strechy
53;Sigrent s.r.o.;Opoj 384, 91932 Opoj;421950455437;info@sigrent.sk;http://sigrent.sk;Priemyselný materiál
54;SL Cleaning s.r.o.;Viničná 14, 900 26 Slovenský Grob;421945440212;info@cleaning.sk;http://slcleaning.sk;Upratovacie služby
55;Ing. Róbert Krosner;Budovateľská 15, 91943 Cífer;421903259942;robertkrosner@gmail.com;;Znalci a odhadcovia
56;Bednárik doprava s. r. o.;Budmerice 760, 90086 Budmerice;421917441448;dopravabednarik@gmail.com;https://www.facebook.com/Kontajnery-Dovoz-zeminymakadámuštrkuBúracie-práce-0917-411-448-835654849803089/;Zemné práce
57;GABDI s.r.o.;Veľké Blahovo 190, 93001 Veľké Blahovo;421315523152;edmar.gabriela@gmail.com;http://www.gabdi.sk;Potraviny - výroba
58;Putz Zsolt;Lichnerova 91/27, 90301 Senec;421903271309;;;Kľúče a zámky
59;Ing. Marek Baláž, a.i. SKSI - framipek, s.r.o.;Horná 9, 90081 Šenkvice;421918772875;mbalaz@framipek.sk;;Projektanti , projektovanie
60;ŠTEFKO - Štefan Šuša;Hlavná 172/122, 90026 Slovenský Grob;421948526740;stefko.susa@gmail.com;http://www.hodinovymajster-stefko.wbl.sk;Hodinový manžel
61;REDIS - PEZINOK;Moyzesova 175/1, 90201 Pezinok;421910972154;ipredajna@bicyklesport.sk;http://www.bicyklesport.sk;Bicykle
62;NIKAS PEZINOK;Nová 4126/7, 90203 Pezinok;421336403734;nikas@nabytoknikas.sk;http://www.nabytoknikas.sk;Nábytok
63;Pizzeria Pezinok;Holubyho 59/25, 90201 Pezinok;421948456788;saskovicviliam@gmail.com;http://www.pizzerkapezinok.sk;Pizzerie
64;Vinárstvo Matyšák, Pezinok;Glejovka 1361/10, 90203 Pezinok;421915694347;miklovicova@vinomatysak.sk;;Vinárne
65;Prenájom lešenia Pezinok;Obrancov mieru 1273/43, 90201 Pezinok;421905621484;rossipk@zoznam.sk;;Lešenie
66;Stolárstvo Lettrich Pezinok;Cajlanská 1800/61, 90201 Pezinok;421908461832;info@stolarstvolettrich.sk;http://www.stolarstvolettrich.sk;Stolári
67;Vitis Pezinok spol. s r.o.;Holubyho 92/91, 90201 Pezinok;421317881039;hubert@hubertsekt.sk;http://www.vitis.sk/;Liehovary
68;BICYKLE & ŠPORT PEZINOK;Moyzesova 1653/1, 90201 Pezinok;421336475036;ipredajna@bicyklesport.sk;http://www.bicyklesport.sk;Bicykle
69;RHR Auto, spol. s r. o.. Pezinok;Bratislavská 197/83, 90201 Pezinok;421902555550;rhr.auto@gmail.com;http://www.rhr.sk;Autobazáre
70;PK Pezinok spol. s r.o.;Hollého 1078/2, 90201 Pezinok;421336406144;;;Obchodná činnosť
71;Centrum pre rodinu - Pezinok;Farská 139/5, 90201 Pezinok;421911668033;;;Záujmové združenia
72;TAXI PEZINOK;Radničné námestie, 90201 Pezinok;421905426242;objednajsi@taxi-pezinok.sk;http://www.taxi-pezinok.sk;Taxislužba
73;Veterinárna klinika Pezinok MVDr. Miklošovičová;F. P. Drobiševa 2376/5, 90201 Pezinok;421336402388;ambulancia@veterinarnaklinikapezinok.sk;http://veterinarnaklinikapezinok.sk;Veterinári
74;Poľnohospodárske družstvo Pezinok;Šenkvická cesta 2614/3, 90201 Pezinok;421336452403;;;Poľnohospodárske služby
75;HYCA s.r.o. PEZINOK;Myslenická 3001/1, 90201 Pezinok;421336431141;hyca@hyca.sk;http://www.hyca.sk;Zdvíhacia technika
76;POLIKLINIKA PEZINOK;Hollého 1078/2, 90201 Pezinok;421336412444;;;Polikliniky , zdravotnícke zariadenia
77;MaSK Pezinok;Sama Chalupku 1403/9, 90201 Pezinok;421903461575;mask@maskpezinok.sk;http://www.maskpezinok.sk;Kluby , spoločenské , záujmové
78;Veterinárna ambulancia Pezinok - MVDr. Blanka Sedláková;Hrnčiarska 436/18A, 90201 Pezinok;421948087811;info@veterinarpezinok.sk;http://www.veterinapezinok.sk/;Veterinári
79;TV PEZINOK s.r.o.;Holubyho 114/42, 90201 Pezinok;421905848444;http://www.tvpezinok.sk/;http://www.tvpezinok.sk/;Televízne spoločnosti a štúdiá
80;TAXI PEZINOK - Iliad, s. r. o.;Radničné námestie, 90201 Pezinok;421905544644;iliad.iliad.iliad@gmail.com;;Taxislužba
81;OC Plus Pezinok;Holubyho 28, 90201 Pezinok;421336404695;info@ocplus.sk;http://ocplus.sk;Nákupné centrá
82;Psychiatrická nemocnica Philippa Pinela Pezinok;Pezinok , 90218 Pezinok;421336482111;sekretariat@pnpp.sk;http://www.pnpp.sk;Nemocnice , kliniky
83;EUROP-AUTOSKLO Pezinok, s.r.o.;Šenkvická cesta 1A, 90201 Pezinok;421903303333;;;Automobily - servisy
84;LVS PEZINOK, s.r.o.;Šenkvická cesta 14/%, 90201 Pezinok;sekty ,;aperitívy;;Vína , sekty , aperitívy
85;LSPP Pezinok s.r.o.;Hollého 1078/2, 90201 Pezinok;421336413536;;;Pohotovostná lekárska služba
86;Salón Briliant Pezinok;Kollárova 4017/3a, 90201 Pezinok;421910255488;salonbriliant@azet.sk;http://www.mojsalon.estranky.sk/;Svadobné šaty , salóny
87;Majerčáková Marína, Ing. - ZNALEC PEZINOK;Dona Sandtnera 17, 90201 Pezinok;421908710424;znalec.pezinok@gmail.com;http://www.znalec-pezinok.sk;Znalci a odhadcovia
88;VITIS PEZINOK, s.r.o.;Za dráhou 21, 90220 Pezinok;421336906326;hubert@hubertsekt.sk;http://www.vitis.sk;Vína , sekty , aperitívy
89;GAZMONT PEZINOK;Silvánová 2/B, 90201 Pezinok;rozvod;;;Plyn - inštalácia , rozvod
90;Pošta Pezinok 4 (podávacia pošta);Svätoplukova 11, 902 04 Pezinok;421336412201;zakaznickyservis@slposta.sk;http://www.posta.sk;Poštové služby
91;Pošta Pezinok 1 (dodávacia pošta);Holubyho 28, 902 01 Pezinok;421336402201;zakaznickyservis@slposta.sk;http://www.ocplus.sk/obchod-Posta,48.html#abecedne,48;Poštové služby
92;Pošta Pezinok 5 (podávacia pošta);Myslenická 2, 902 05 Pezinok;421332312380;zakaznickyservis@slposta.sk;http://www.posta.sk;Poštové služby
93;Polícia SR - Obvodné oddelenie PZ Pezinok;Meisslova 5, 90201 Pezinok;421961523705;http://www.minv.sk/?or-pz-pezinok;http://www.minv.sk/?or-pz-pezinok;Polícia SR
94;BASKETBAL PEZINOK, s.r.o.;Komenského 1216/27, 90201 Pezinok;421911116811;;;Športové združenia , telovýchovné jednoty
95;SOĽNÁ JASKYŇA U KONÍČKA - PEZINOK;Za koníčkom 1342/9, 90201 Pezinok;421918497628;;;Relaxačné a wellness centrá
96;DUAL BP, s.r.o. - Pezinok - predajňa;Jesenského 4, 90201 Pezinok;421905715043;pk@dualbp.sk;http://www.dualbp.sk;Ochranné a bezpečnostné pomôcky
97;Správa katastra Pezinok;Radničné námestie 7, 90201 Pezinok;skpk@skgeodesy.sk;skpk@skgeodesy.sk;http://www.skgeodesy.sk;Katastrálne , stavebné a pozemkové úrady
98;MobilnéFitko/Osobný tréner Pezinok;Myslenická 187, 90201 Pezinok;421908127642;mobilnefitko@gmailc.om;http://mobilnefitko.sk;Fitness a relaxačné centrá
99;MILAN ZÁMEČNÍK TOD PEZINOK;Tolstého 868/16, 90201 Pezinok;421903467977;;;Nákladné automobily - doprava a preprava
100;1. JUDO CLUB PEZINOK;1. mája, 90201 Pezinok;421336423219;admin@judopezinok.sk;http://www.judopezinok.sk;Športové združenia , telovýchovné jednoty
101;Tesco Hypermarket Pezinok;Myslenická 2/B, 902 01 Pezinok;800222333;https://www.tesco.sk/obchody/pezinok/myslenická-2/b;https://www.tesco.sk/obchody/pezinok/myslenická-2/b;Potraviny - predaj
102;Slovenský poľovnícky zväz okresná organizácia Pezinok;Moyzesova 1621/17, 90201 Pezinok;421903207250;záujmové;;Kluby , spoločenské , záujmové
103;OČNÁ AMBULANCIA Pezinok, s.r.o.;Hollého 1078/2, 90201 Pezinok;421336400784;http://bohm.sk/ambulantna-starostlivost-pezinok;http://bohm.sk/ambulantna-starostlivost-pezinok;Očné lekárstvo
104;Úrad práce sociálnych vecí a rodiny Pezinok;Moyzesova 1678/2, 90201 Pezinok;421332443101;pk@upsvr.gov.sk;http://www.upsvar.sk/PK;Ostatné úrady a inštitúcie
105;Hĺbkové tepovanie Pezinok;Komenského 27, 90201 Pezinok;421908437079;dusan@topservis.sk;https://topservis-pezinok.sk;Upratovacie služby
106;Okresný úrad Pezinok;M. R. Štefánika 10, 90201 Pezinok;421336411172;prednosta@pk.vs.sk;http://www.minv.sk/?pezinok-hlavna-1;Úrady krajské , okresné , mestské a obecné
107;Mesto Pezinok - mestský úrad;Radničné námestie 7, 90201 Pezinok;421336901100;http://www.pezinok.sk;http://www.pezinok.sk;Úrady krajské , okresné , mestské a obecné
108;Trafika Pezinok;Holubyho 31, 90201 Pezinok;421950247567;mrvis@trafikapezinok.sk;http://trafikapezinok.sk;Tabakové výrobky , fajčiarske potreby
109;OPTIKA SILOE - Pezinok OC MOLO;Myslenická 2/C, 90201 Pezinok;421332312383;pk.molo@optikasiloe.eu;http://www.optikasiloe.eu;Očná optika
110;Obchodná akadémia, Myslenická 1, 902 01 Pezinok;Myslenická 3001/1, 90201 Pezinok;http://www.oapk.sk;;http://www.oapk.sk;Školy , stredné
111;SBD - P Pezinok;Majakovského 2769/35, 90201 Pezinok;421901717022;http://www.sbdpk.sk;http://www.sbdpk.sk;Byty , domy - správa a údržba
112;"Pizza Bucki; Pezinok";Fortna, 90201 Pezinok;http://pk.pizzabucki.sk;;http://pk.pizzabucki.sk;Gastronomické služby
113;EUROP - AUTOSKLO - PEZINOK;Bernolákova 1535/4, 90201 Pezinok;osobné - predaj;;;Automobily , osobné - predaj
114;Invia Pezinok;Myslenická 2/C, 90201 Pezinok;421903423208;pavol.kucak@invia.sk;;Cestovné kancelárie a agentúry
115;Taxi Pezinok - Macháček;Modranská 288/56, 90201 Vinosady;421905454545;peterbednarik@zoznam.sk;http://www.taxipezinok.eu;Taxislužba
116;Macháček Radoslav - TAXI PEZINOK;Modranská 331/99, 90201 Vinosady;421905426242;objednajsi@taxi-pezinok.sk;http://www.taxi-pezinok.sk;Taxislužba
117;VÍNO MATYŠÁK PEZINOK;Sládkovičova 289/56, 97632 Badín;sekty ,;aperitívy;;Vína , sekty , aperitívy
118;VÍNO - STREZENICKÝ - PEZINOK;Modranská 366/134, 90201 Vinosady;sekty ,;aperitívy;;Vína , sekty , aperitívy
119;SANDROCK, a.s. PEZINOK;Nové Osady - Sedín, 92522 Veľké Úľany;drviny ,;štrky;;Piesky , drviny , štrky
120;Kľúč RK s.r.o.;Záhumenice 6, 90201 Pezinok;421907507507;kluc@kluc.sk;https://www.kluc.sk;Realitné kancelárie
121;INECS;Viničnianska cesta 1, Pezinok;421903427367;peter.benko@inecs.sk;http://www.inecs.sk;Odpad
122;Lintex;Holubyho 28, 90201 Pezinok;421905883961;sobota@galtera.sk;http://www.lintex.sk;Galantéria
123;Colette;Holubyho 28, 90201 Pezinok;421918861619;http://ocplus.sk/obchod-Colette,54.html#abecedne,54;http://ocplus.sk/obchod-Colette,54.html#abecedne,54;Kozmetika
124;Levík;Holubyho 28, 90201 Pezinok;421948078037;info@levikhracky.sk;http://hrackylevik.sk;Hračky
125;PIERS;Holubyho 28, 90201 Pezinok;agarro@centrum.sk;agarro@centrum.sk;http://www.ocplus.sk/obchod-PIERS,32.html#abecedne,32;Hodiny
126;SOKO;Slnečná 936/44, 90201 Pezinok;;;;Krmivo
127;KERASLOV;Komenského 1224/4, 90201 Pezinok;421336422875;;;Keramika
128;ABEMA;Ľ. Rajtera 19, 90201 Pezinok;421903314357;info@abema.sk;http://www.abema.sk;Kovovýroba
129;VodaTom;L. Novomeského 13, 90201 Pezinok;421918131294;;;Kúrenári
130;Pokécenter;M. R. Štefánika 11, 90201 Pezinok;421911843838;info@pokecenter.sk;http://pokecenter.sk;Maloobchod
131;VENTILATORSHOP;Holubyho 69/45, 90201 Pezinok;421948526321;info@ventilatorshop.sk;http://www.ventilatorshop.sk;Ventilátory
132;OM-OPTIK, s. r. o.;Kupeckého 2, 90201 Pezinok;421910379857;omoptik@omoptik.sk;http://www.omoptik.sk;
133;CACAOTICA;Šenkvická cesta 2166/1, 90201 Pezinok;421948585506;;;Cukrovinky
134;iQpy;Myslenická 3124/263, 90203 Pezinok;;;;Kvetinárstvo
135;Okay;Šenkvická cesta 12/D, 90201 Pezinok;421333219939;okay_147@okaysk.eu;http://www.okay.sk;Elektronika
136;Digitall;Myslenická 2B, 90201 Pezinok;421911103215;pezinok@digitall.sk;http://digitall.sk;Elektronika
137;KOVYS;L. Novomeského 2713/16, 90201 Pezinok;421336476600;kovys@kovys.sk;http://www.kovys.sk;Kovovýroba
138;Artzone;Šenkvická cesta 4166/14n, 90201 Pezinok;421918668125;artzone@artzone.sk;http://www.artzone.sk;Stolári
139;ŽELEZIARSTVO;Jesenského 15, 90201 Pezinok;421917273564;drevomarket@drevomarket.sk;;Železiarstvo
140;TRAX;Myslenická 2/C, 90203 Pezinok;421915444812;http://www.molo.sk/obchod/7-trax-sport;http://www.molo.sk/obchod/7-trax-sport;Bicykle
141;DRÁČIK;Myslenická 2/C, 90203 Pezinok;421332312319;dracik@dracik.sk;http://www.molo.sk/obchod/19-dracik-hrackarstvo;Hračky
142;Magdalénka - kvety;Holubyho 28, 90201 Pezinok;421905432852;http://www.ocplus.sk/obchod-Magdalenka-kvety,15.html#abecedne,15;http://www.ocplus.sk/obchod-Magdalenka-kvety,15.html#abecedne,15;Kvetinárstvo
143;Lekáreň Plus;Holubyho 28, 90201 Pezinok;421911866300;lekaren.plus@pharim.sk;http://pharim.sk;Lekárne
144;TOPPER CLUB;Holubyho 28, 90201 Pezinok;421948360280;kaviaren@topperclub.sk;http://topperclub.sk;Kaviarne
145;911 kaviareň;Holubyho 28, 90201 Pezinok;421905432852;http://ocplus.sk/obchod-911-kaviaren,22.html#abecedne,22;http://ocplus.sk/obchod-911-kaviaren,22.html#abecedne,22;Kaviarne
146;Bio Beauty;Holubyho 28, 90201 Pezinok;421944058884;biobeauty@biobeauty.sk;http://biobeauty.sk;Kozmetika
147;Atelier 22;Holubyho 28, 90201 Pezinok;421905662814;atelier22@atelier22.sk;http://atelier22.sk;Interiéry
148;WM cosmetics;Holubyho 28, 90201 Pezinok;421904210948;majcamravcova@gmail.com;http://www.ocplus.sk/obchod-WM-cosmetics,93.html#abecedne,93;Kozmetika
149;Tatiana ( EXKLUZÍV );Holubyho 28, 90201 Pezinok;http://www.ocplus.sk/obchod-Tatiana-EXKLUZIV-,70.html#abecedne,70;;http://www.ocplus.sk/obchod-Tatiana-EXKLUZIV-,70.html#abecedne,70;Textil
150;Dagmar Boďová;Svätoplukova 26, 90201 Pezinok;421915132170;;;Účtovníctvo
151;MAGISTER s.r.o.;Svätoplukova 11D, 90201 Pezinok;421918830150;info@lekarensever.sk;http://www.lekarensever.sk;Lekárne
152;Showroom – Predajňa;Obchodná 8, 90201 Pezinok;421917440243;newdesign@post.sk;http://www.newdesign.sk;Stolári
153;Kamenná pivnica;Cajlanská 202, 90201 Pezinok;421905923634;bruno.cech@azet.sk;http://www.pecene-prasiatka.sk;Pivnice
154;MARGO CAFÉ;Jesenského 2, 90201 Pezinok;421903634528;;;Kaviarne
155;SEVER, s.r.o.;Svätoplukova %, 90201 Pezinok;;;;Lekárne
156;HERD STUDIO;Zigmundíkova 659/2, 90201 Pezinok;;;;Pece
157;RATANOVÝ NÁBYTOK;Holubyho 107/28, 90201 Pezinok;;;;Nábytok
158;TEKON, s.r.o.;Tehelná 1765/11, 90201 Pezinok;;;;Strojárenstvo
159;FOTOPOLY - PEČIATKY;Moyzesova 1660/13, 90201 Pezinok;;;;Pečiatky
160;HOTEL TÍLIA****;Kollárova 136/20, 90201 Pezinok;421336412402;;;Hotely
161;Mikovíniová Marta;Komenského 1276/20, 90201 Pezinok;421903774769;;;Účtovníctvo
162;exLOG s.r.o.;Sládkovičova 1148/16, 90201 Pezinok;421336400006;http://www.exlog.sk;http://www.exlog.sk;Zasielateľstvo
163;TALEIA s.r.o.;Muškátova 2565/6, 90201 Pezinok;421911954113;;;Účtovníctvo
164;Foltanovičová Michaela;Muškátova 3803/25, 90201 Pezinok;421903170182;;;Maloobchod
165;Ecovea, s. r. o.;Leitne 29/3612, 90201 Pezinok;421918430500;daniela.tejkalova@gmail.com;http://www.prijemnebyvanie.sk;Architekti
166;LUKETA, s. r. o.;Majakovského 2672/21, 90201 Pezinok;421903324855;luketa@luketa.sk;http://www.luketa.sk;Nábytok
167;Ján Sabol;Fajgalská cesta 10, 90201 Pezinok;421918780055;;;Kovovýroba
168;Jarmila Kuchtová;Svätoplukova 2646/28, 90201 Pezinok;421903241520;;;Nábytok
169;Lester spol. s r. o.;Bratislavská 2551/124, 90201 Pezinok;421907989666;info@lester.sk;http://www.lester.sk;Stolári
170;ANAX s.r.o.;Bratislavská 198/85, 90201 Pezinok;421336422480;anax@anax.sk;http://www.anax.sk;Nábytok
171;Tatiana Viršíková;Bystrická 2488/34, 90201 Pezinok;421907725528;;;Účtovníctvo
172;MZA s.r.o.;Mladoboleslavská 1112/1, 90201 Pezinok;421911946946;;;Autobazáre
173;Paceková Tatjana;Cajlanská 1909/8, 90201 Pezinok;421903609236;;;Maloobchod
174;MEDteam s.r.o.;Šancová 2843/18, 90201 Pezinok;421910640508;;;Lekári
175;101 Drogerie;Šenkvická cesta 4798, 90201 Pezinok;421914363874;101drogerie@101drogerie.sk;http://www.101drogerie.sk;Drogérie
176;Divadlo PIKI;Obrancov mieru 18, 90201 Pezinok;421336411033;piki@nextra.sk;http://www.piki.sk;Divadlá
177;BOZIN, spol. s r.o.;Holubyho 58/23, 90201 Pezinok;421903771615;parkett@bozin.sk;http://www.bozin.sk;Podlahy
178;DAILY s.r.o.;Moyzesova 1678/2, 90201 Pezinok;421336403536;;;Účtovníctvo
179;Patrik Čemez;Silvánová 2575/1, 90201 Pezinok;421903433725;;;Maloobchod
180;MEDIAB s.r.o.;Holubyho 67/41, 90201 Pezinok;421336405433;;;Diabetológia
181;Lekáreň Pharim;Holubyho 67/41, 90201 Pezinok;421911866744;;;Lekárne
182;Martina Romanová;Bernolákova 1494/27, 90201 Pezinok;421903428993;;;Maloobchod
183;XBASE s.r.o.;Rulandská 2569/6, 90201 Pezinok;421908862777;;;Podlahy
184;ARCHFORM, s.r.o.;Holubyho 107/28, 90201 Pezinok;421905999599;http://www.archform.sk;http://www.archform.sk;Architekti
185;METRÁŽ - GALANTÉRIA;Holubyho 82/71, 90201 Pezinok;421944280184;janka.zaprazna@atlas.sk;http://www.metrazagalanteria.sk;Galantéria
186;PALMETA ATELIÉR;Holubyho 85/77, 90201 Pezinok;421905475031;atelier.palmeta@gmail.com;http://www.starozitnosti-restaurovanie.sk;Starožitnosti
187;Ideagroup s.r.o.;Bratislavská 2546/114, 90201 Pezinok;421911022004;;;Maloobchod
188;Emília Šoltýsová;Kupeckého 785/38, 90201 Pezinok;421903125271;;;Pedikúra
189;Ľubomíra Kubišová;Suvorovova 2629/48, 90201 Pezinok;421905664678;;;Účtovníctvo
190;RAMIL s.r.o.;Hroznová 19, 90201 Pezinok;421336406357;;;Strojárenstvo
